mineral_name,mineral_frequency,sample_label,rock_name,classification,latitude,longitude,doi/ref,igsn,analytical_method,data_source,SiO2,TiO2,Al2O3,FeO,MnO,MgO,Cr2O3,Fe2O3,CaO,Na2O,K2O,P2O5,NiO,BaO,CO2,(SO3)2-,SO2,PbO,SrO,ZrO2,Nb2O5,B2O3,WO3,As2O5,ZnO,MoO3,CuO,CdO,Mn2O3,Cu2O,SnO,BeO,SnO2,H2O,F,Cl,Si,Ti,Al,Fe,S,Cu,Pb,Zn,Co,Ni,As,Ag,Sb,Hg,Bi,Te,Mo,Mn,Mg,Ca,Na,K,Cr,Sr,Ba,Y2O3,Sc2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Gd2O3,Dy2O3,ThO2,UO2,Tb2O3,ThO2.1,Tb2O3.1,ThO2 ,Tb2O3 
actinolite,Common,samp. SJDD014,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.2439,2.0,16.522,0.57616,15.08039,,,10.0,0.18186,,,,,,,,,,,,,,,,,,,,,,,,,,0.17065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. MAC-39,Tonalite,Not given,-20.12,-69.21,[26654] AGEMAR T. (1999),Not given,Not given,GEOROC,54.0,0.14,1.0,17.62,0.81,13.28,0.04,0.53,11.0,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.27665,2.0,13.45408,0.23554,16.42476,,,12.0,0.29496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. HR2013-8,"Cumulate, amphibole",Not given,30.0938,88.8642,[23688] ZHOU JINSHENG (2020),Not given,Not given,GEOROC,56.0,,1.0,8.64,0.18,19.78,,,13.0,0.22,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SIL 37,Andesite,Not given,-0.659,-78.714,[9845] HIDALGO S. (2007),Not given,Not given,GEOROC,52.0,1.16,6.0,9.49,0.36,15.59,,,14.0,1.42,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. 1157,Gabbro,Not given,69.0,86.0,[24191] SLUZHENIKIN S. F. (2020),Not given,Not given,GEOROC,55.0,0.31,4.0,12.67,0.26,14.66,0.53,,12.0,0.66,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD014,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,53.0,0.71046,3.0,11.34569,0.22231,15.20551,,,15.0,0.17235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD014,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,53.0,,3.0,14.9232,0.2911,15.2044,,,12.0,0.22637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. MAC-39,Tonalite,Not given,-20.12,-69.21,[26654] AGEMAR T. (1999),Not given,Not given,GEOROC,54.0,0.12,1.0,16.92,0.77,14.37,0.02,1.2,11.0,0.14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,424 LOMROG12-TC05 4-5cm_24,Nan,Not given,87.8205,-59.63194,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,0.538,14.052,1.893,51.843,0.301,15.65,,,,0.274,15.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. LPT-C2,Gabbro,Not given,-19.87,-69.43,[26654] AGEMAR T. (1999),Not given,Not given,GEOROC,51.0,0.25,4.0,14.69,0.53,14.64,0.01,1.71,12.0,0.48,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,16 LOMROG09-PC01 231.7-233.7 cm 16,Not given,Not given,88.54,133.48,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,55.475,,1.678,10.997,0.066,17.131,0.004,,13.133,0.173,0.037,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. ACT 5,Basalt,Not given,35.5,118.0,[22823] YANG LIHUI (2019),Not given,Not given,GEOROC,56.0,0.15,4.0,6.82,0.2,18.38,0.57,,13.0,0.43,0.06,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,57.0,,1.0,11.18617,0.23647,17.36642,,,13.0,0.07485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. 11JG-9A,"Amphibolite, garnet",Not given,33.8783,117.015,[26876] LIU WEN-RAN (2023),Not given,Not given,GEOROC,54.0,0.55,3.0,15.26,0.17,15.25,0.04,,12.0,0.46,0.1,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. ACT 6,Basalt,Not given,35.5,118.0,[22823] YANG LIHUI (2019),Not given,Not given,GEOROC,57.0,0.01,2.0,8.5,0.1,18.56,0.06,,12.0,0.22,0.05,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,211 LOMROG12-TC05 2-3cm_11,Nan,Not given,87.8205,-59.63194,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,0.125,9.535,2.015,53.775,0.135,16.524,0.317,,0.156,0.563,15.737,,0.003,,,,,,,0.004,,,,,,,,,,,,,,,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD006,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,,2.0,12.06134,0.3983,15.97225,,,13.0,0.16351,0.07543,0.1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. DR-17,Amphibolite,Not given,23.83,34.92,[26723] KHEDR M. Z. (2023),Not given,Not given,GEOROC,54.0,0.32,4.0,5.929,0.111,20.222,0.612,,13.0,0.252,0.019,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,,1.0,13.8273,,15.8281,,,13.0,0.08995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,56.0,,1.0,11.87326,,17.25753,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,,2.0,15.75755,0.22483,14.74884,,,12.0,0.17287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD006,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,,3.0,11.55583,0.29599,15.66395,,,13.0,0.19791,0.10023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD014,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,0.1889,3.0,10.77542,,16.54055,,,13.0,0.15282,0.08384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.1732,2.0,13.36741,0.28078,16.59764,,,12.0,0.31903,0.04991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
